Recipe,Url,Ingredients,Ratings,Serving,Prepration_Time,Calories,Protein,Carbohydrate,Fat
Vegetarian Mazemen With Beans and Egg Recipe,https://www.seriouseats.com/double-bean-mazemen-broth-less-ramen-with-savory-beans,"1 cup (240ml) bean cooking liquid, from a pot of beans cooked from dry or if using canned beans, homemade or store-bought low-sodium chicken stock, or vegetable stock (see note),1/4 cup (65g) cooked dry beans or canned beans, drained thoroughly (see note),1/4 cup (60ml) fermented bean paste, such as doubanjiang, miso, doenjang, or gochujang,1/4 cup (60ml) sesame oil or other aromatic oil (see note),1 tablespoon plus 1 teaspoon (20ml) rice vinegar,Kosher salt,4 portions ramen noodles, store-bought or homemade (see note),Sliced scallions,4 onsen egg (see note)",0,4,15 mins,303,7,27,19
Panang Neua (Thai Panang Beef Curry) Recipe,https://www.seriouseats.com/panang-neua-thai-panang-curry-with-beef,"2 1/2 pounds (1.1kg) bone-in beef short ribs (see note),3 tablespoons (45ml) vegetable oil, divided,Kosher salt,1 cup (240ml) full-fat coconut milk, such as Aroy-D (see note),6 small shallots or pearl onions (about 90g total), unpeeled,10 fresh or frozen makrut lime leaves, divided (see note),1 cup (240ml) full-fat coconut milk, such as Aroy-D, divided,4 ounces (1/2 cup; 114g) homemade or store-bought panang curry paste (see note),3 tablespoons (75g) palm sugar (see note),3 tablespoons (45ml) fish sauce,1 tablespoon plus 1 1/2 teaspoons (30g) tamarind paste,1 cup (about 30g) packed fresh sweet basil leaves (a.k.a. Thai basil),Cooked jasmine rice, for serving",7,4,4 hrs,1211,65,45,89
Grilled Beef Galbi (Korean-Style Marinated Short Ribs) Recipe,https://www.seriouseats.com/grilled-beef-galbi-korean-style-marinated-short-ribs,"1 medium onion (about 7 ounces; 200g), cut into 1-inch pieces,1 Asian pear (about 6 ounces; 170g), peeled and cut into 1-inch pieces (see notes),5 garlic cloves (25g),1-inch piece (1/2 ounce; 14g) fresh ginger, peeled and cut into 1/4-inch pieces,1 cup (240ml) soy sauce,1/2 cup (120ml) water,1/4 cup (50g) packed brown sugar,2 tablespoons (30ml) mirin,1 tablespoon (6g) freshly ground black pepper,4 scallions (80g), thinly sliced,2 tablespoons (30ml) toasted sesame oil,2 tablespoons (12g) toasted sesame seeds, lightly crushed,3 pounds (1.4kg) flanken-style beef short ribs, about 1/2-inch-thick (see notes),Ssamjang,Lettuce and perilla leaves, steamed rice, thinly sliced garlic, chiles, and scallions, and assorted banchan",5,4,100 mins,1385,101,53,85
"Pan-Seared, Butter-Basted Thick-Cut Steak Recipe",https://www.seriouseats.com/butter-basted-pan-seared-steaks-recipe,"1 large bone-in T-bone or ribeye steak (see note),Kosher salt and freshly ground black pepper,1/4 cup (60ml) vegetable or canola oil,3 tablespoons (45g) unsalted butter,6 sprigs thyme or rosemary (optional),1/2 cup finely sliced shallots (about 1 large; optional)",12,3,80 mins,937,58,0,77
Classic Smashed Burgers Recipe,https://www.seriouseats.com/classic-smashed-burgers-recipe,"1/2 teaspoon vegetable oil,16 to 20 ounces (455g to 570g) ground beef, divided into four 4-ounce portions (see note),Kosher salt and freshly ground black pepper,Cheese slices (if desired),Four toasted burger buns,Toppings and condiments, as desired",12,4,15 mins,475,29,32,25
"Asparagus, Mushroom, Leek, and Cheese Galette Recipe",https://www.seriouseats.com/savory-asparagus-mushroom-leek-and-cheese-galette,"1/2 batch Old-Fashioned Flaky Pie Dough,1/4 cup plus 1 tablespoon (75ml) extra-virgin olive oil, divided, plus more for drizzling,1 pound (450g) mixed mushrooms, such as cremini, stemmed and caps sliced 1/4 inch thick,Kosher salt,1 pound (450g) asparagus, woody ends trimmed, stalks cut on the bias 1/4 inch thick, tips reserved,1 teaspoon minced fresh thyme leaves,4 tablespoons (60g) unsalted butter,1 1/2 pounds leeks, white and light green parts only, halved lengthwise then cut crosswise into 1/4 inch thick half-moons,2 ounces (55g) grated Fontina cheese,1 large egg, beaten",6,8,2 hrs 30 mins,442,8,37,31
Charred Broccoli With Taleggio Cheese Sauce and Gremolata Recipe,https://www.seriouseats.com/charred-broccoli-with-taleggio-cheese-sauce-and-gremolata,"8 ounces (225g) Taleggio cheese, rind removed and cut into 1/2-inch pieces (see note),1/2 cup (120ml)  heavy cream,2 heads broccoli (about 2 pounds; 900g),1/3 cup (80ml) extra-virgin olive oil,1/3 cup (15g) chopped fresh flat-leaf parsley leaves and tender stems,1 small green jalapeño (about 1/2 ounce; 15g), stemmed, seeded, and finely minced,1 medium clove garlic, minced,Finely grated zest of 1 lemon,Kosher salt and freshly ground black pepper,3 tablespoons (45ml) vegetable oil, plus more as needed",0,4,45 mins,601,16,18,54
Crispy Cheese- and Kimchi-Topped Skillet Rice Recipe,https://www.seriouseats.com/kimchi-cheese-rice-recipe,"1 tablespoon (15g) unsalted butter, softened,4 cups cooked short-grain rice (see notes),3 tablespoons (45ml) gochujang,3 tablespoons (45ml) soy sauce,1 tablespoon (15ml) rice vinegar,4 thinly sliced scallions (80g), white and green parts divided,3 ounces (85g) grated low-moisture mozzarella cheese (see notes), divided,2 ounces (57g) grated Gruyère cheese (see notes), divided,5 ounces (141g) chopped drained kimchi (see notes),1 ounce (28g) grated Cotija cheese (see notes)",7,4,50 mins,538,19,71,19
Easy Diner-Style Tuna Melt Recipe,https://www.seriouseats.com/classic-diner-style-tuna-melt,"One 5-ounce (142g) canned oil- or water-packed tuna, drained well,1/2 cup (120g) Hellmann's mayonnaise (see note),2 tablespoons (10g) panko bread crumbs (optional; see note),Kosher salt and freshly ground black pepper,Two 1-inch-thick slices (for open-faced) or four 1/2-inch-thick slices (for closed sandwiches) white sandwich bread,Vegetable oil, clarified butter, and/or melted butter, for brushing the bread,4 slices Cheddar or American cheese",0,2,15 mins,992,36,33,79
Pressure Cooker Chicken and Rice Soup,https://www.seriouseats.com/pressure-cooker-chicken-and-rice-soup-recipe-5220183,,0,0,2 hrs 30 mins,0,0,0,0
Khua Kling Gai (Southern Thai Dry Curry With Minced Chicken) Recipe,https://www.seriouseats.com/khua-kling-gai-thai-chicken-curry-recipe-5218072,,0,4,25 mins,0,0,0,0
"Msakhan (Palestinian Flatbreads With Onion, Sumac, and Spiced Roast Chicken)",https://www.seriouseats.com/msakhan-recipe-5219618,,0,0,75 mins,0,0,0,0
Lowcountry Stew Chicken,https://www.seriouseats.com/lowcountry-stew-chicken-5216238,,10,4,95 mins,0,0,0,0
Dairy-Free Chocolate Cake Recipe,https://www.seriouseats.com/dairy-free-chocolate-cake,"4 ounces light or dark brown sugar (about 1/2 cup, firmly packed; 115g),1 1/2 ounces high-fat Dutch cocoa (about 1/2 cup; 42g); see our top Dutch cocoa picks for recommendations (see notes),Shy 1/2 teaspoon (1.75g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,3/4 teaspoon (4.8g) baking soda,4 1/2 ounces extra-virgin olive oil (about 2/3 cup; 127g),4 ounces brewed black coffee, or black tea such as Assam (about 1/2 cup; 115g), any temperature,2 large eggs (about 3 1/2 ounces; 100g), straight from the fridge,1/4 ounce vanilla extract (about 1 1/2 teaspoons; 7g),2 1/2 ounces whole wheat flour, such as Bob's Red Mill (about 1/2 cup plus 2 tablespoons; 70g),Optional garnishes: powdered sugar, preferably organic (see our explainer on organic powdered sugar for more information), or fresh fruit",10,8,90 mins,275,4,26,18
Tate's-Style Thin and Crispy Chocolate Chip Cookies Recipe,https://www.seriouseats.com/thin-and-crispy-chocolate-chip-cookies,"8 ounces low protein all-purpose flour, such as Gold Medal blue label or Whole Foods 365 blue label (about 1 3/4 cup, spooned; 225g),8 ounces light brown sugar, not dark brown (about 1 cup, firmly packed; 225g),3 1/2 ounces raw cane sugar, not white (about 1/2 cup; 100g),2 teaspoons (8g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,1 1/2 teaspoons (8g) baking soda,8 ounces cold, unsalted butter, cut into 1-inch chunks (about 16 tablespoons; 225g),8 ounces assorted chocolate chips, preferably no darker than 70%, see note (about 1 1/3 cups; 225g),1 large egg, straight from the fridge, well beaten (1 3/4 ounces; 50g),1/2 ounce vanilla extract (about 1 tablespoon; 15g)",21,56,2 hrs,74,1,9,4
Ginger Spice Brownies,https://www.seriouseats.com/ginger-spice-brownies-5216863,,0,0,105 mins,0,0,0,0
Glossy Fudge Brownies Recipe | BraveTart,https://www.seriouseats.com/bravetart-glossy-fudge-brownies,"12 ounces unsalted butter (about 3 sticks; 340g),6 ounces finely chopped dark chocolate, about 72% (about 1 cup; 170g),16 ounces granulated sugar (about 2 1/4 cups; 450g),2 ounces light brown sugar (about 1/4 cup, packed; 55g),1 3/4 teaspoons (4g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,6 large eggs, straight from the fridge (about 10 1/2 ounces; 295g),1/2 ounce vanilla extract (about 1 tablespoon; 15g),1 teaspoon instant espresso powder, such as Medaglia d’Oro (optional),4 1/2 ounces all-purpose flour, such as Gold Medal (about 1 cup, spooned; 125g),4 ounces Dutch-process cocoa powder, such as Cacao Barry Extra Brute (about 1 1/3 cups, spooned; 115g)",56,24,115 mins,284,4,32,16
Pan-Seared Duck Breast with Orange Pan Sauce Recipe,https://www.seriouseats.com/pan-seared-duck-breast,"4 duck breasts, 4 to 5 ounces (112 to 140g) each,Kosher salt,1/2 cup dry white wine (4 fluid ounces; 120ml),1 1/2 cups homemade chicken stock or store-bought stock combined with 1 tablespoon powdered gelatin (12 fluid ounces; 360ml),4 tablespoons unsalted butter (2 ounces; 60g),1 teaspoon freshly grated orange zest,1/4 cup (60ml) freshly squeezed orange juice from 1 orange,1/2 teaspoon freshly ground black pepper (or to taste)",7,4,40 mins,419,30,6,26
Crispy Koji Duck Confit With Garlicky Duck-Fat Rice and Umeboshi Recipe,https://www.seriouseats.com/crispy-koji-duck-confit-with-garlicky-duck-fat-rice-and-umeboshi,"4 legs koji duck confit, brought to room temperature and gently removed from fat,1/4 cup plus 1 teaspoon (65ml) duck fat from koji duck confit, divided,4 medium cloves garlic (20g), thinly sliced,4 cups hot cooked rice, preferably short-grain (see note),5 umeboshi (45g), pitted and finely minced (see note),1/4 cup (15g) roughly chopped fresh cilantro leaves and tender stems,1 tablespoon (6g) toasted white or black sesame seeds, plus more for garnish,Kosher salt",0,4,20 mins,401,11,48,18
Dry-Aged Roast Duck Breast Recipe,https://www.seriouseats.com/dry-aged-roast-duck-breast,"2 dry-aged duck crowns (see notes),Kosher salt,Coarse sea salt,Red wine duck jus (optional)",0,4,40 mins,343,42,0,18
Crispy Duck Cracklings With Za'atar and Sea Salt Recipe,https://www.seriouseats.com/duck-cracklings-recipe,"2 pounds (900g) duck skin and fat (from 2 whole ducks), cut into 2-inch pieces,1/2 cup (120ml) water,1 tablespoon (8g) store-bought or homemade za'atar spice blend (see note), plus extra as desired,Coarse sea salt",0,6,60 mins,353,16,1,31
Soufflé Omelette With Cheese Recipe,https://www.seriouseats.com/omelette-souffle-with-cheese,"3 large eggs, separated,Kosher salt and freshly ground black pepper,2 ounces (55g) grated Gruyère or cheddar cheese, divided,Minced fresh chives (optional),1 tablespoon (15g) unsalted butter",5,1,20 mins,550,36,1,44
Yam Khai Dao (Thai Fried Egg Salad) Recipe,https://www.seriouseats.com/yam-khai-do-thai-fried-egg-salad,"3 tablespoons (45ml) fresh lime juice from 2 limes,2 tablespoons (30ml) fish sauce,2 teaspoons (15g) palm sugar, softened (see notes),1 small shallot (15g), thinly sliced (see notes),1 medium garlic clove (5g), thinly sliced,1 stalk lemongrass, bottom 4 to 5 inches only, outer leaves discarded, tender core thinly sliced into rounds (about 10g sliced lemongrass),2 to 4 fresh Thai chiles (2 to 4g total), stemmed and thinly sliced into rounds (see notes),3 sprigs cilantro including stems (5g), cut into 1/2-inch pieces, plus extra leaves for garnish,1 scallion, green part only, sliced into 1/8-inch-thick rings (about 5g),2 large eggs,5 tablespoons (75ml) vegetable oil (see notes),Cooked jasmine rice",0,2,10 mins,328,10,38,15
Chinese-Style Layered Omelette Recipe,https://www.seriouseats.com/chinese-style-layered-omelette,"6 large eggs,Small bundle of flowering garlic chives (1.5 oz), sliced thinly (optional, see notes),1/4 teaspoon kosher salt (if using table salt, use half as much),Neutral oil, like canola or peanut, for greasing the pan,5 scallions (3 ounces; 85g), white and light-green parts only, sliced as thinly as possible,3 teaspoons soy sauce (15ml),Steamed white rice, for serving",0,2,10 mins,353,22,27,17
Fried Egg Sandwiches With 'Nduja Mayo and Broccoli Rabe Recipe,https://www.seriouseats.com/broccoli-rabe-egg-nduja-mayo-breakfast-sandwich,"2 sesame seed buns or English muffins, split and toasted,1/4 cup (60g; 60ml) 'nduja mayonnaise,1 cup (8 ounces; 225g) sautéed broccoli rabe, roughly chopped and warmed through,1 tablespoon (15ml) vegetable oil,2 large eggs,Kosher salt and freshly cracked pepper,1 tablespoon (15g) unsalted butter (see note)",0,2,10 mins,449,22,30,27
Burnt Garlic-Sesame-Chili Oil for Ramen Recipe,https://www.seriouseats.com/burnt-garlic-sesame-chili-oil-for-ramen-recipe,"1/4 cup canola or vegetable oil,12 medium cloves garlic, minced (about 4 tablespoons),1/4 cup roasted sesame oil,2 red Thai bird chiles, finely minced,6 tablespoons toasted sesame seeds,1 teaspoon sugar,Kosher salt",0,16,15 mins,82,1,2,8
Traditional Duck Confit Recipe,https://www.seriouseats.com/classic-duck-confit-recipe,"4 duck legs (about 2 1/4 pounds total; 1kg) (see note),1 tablespoon plus 1 teaspoon (16g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,6 large shallots (12 ounces; 340g), quartered,1 small onion (4 ounces; 110g), cut into 2-inch pieces (see note),6 medium cloves garlic (30g),1/2 bunch (2 ounces; 55g) flat-leaf parsley leaves and tender stems, roughly chopped,10 sprigs fresh thyme,2 teaspoons (6g) whole black peppercorns,2 to 4 cups (475 to 950ml) rendered duck fat (see note)",0,4,28 hrs 15 mins,575,68,1,31
Olive Oil Cake Recipe,https://www.seriouseats.com/olive-oil-cake-recipe,"5 1/4 ounces white sugar (about 3/4 cup; 150g), plain or lightly toasted,1/2 teaspoon baking soda,1/2 teaspoon baking powder,1/4 teaspoon (1g) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,2 teaspoons freshly grated lemon zest,5 1/4 ounces best-quality extra-virgin olive oil (about 3/4 cup; 150g); see our guide to choosing a good olive oil for recommendations,4 ounces cultured low-fat buttermilk or kefir (about 1/2 cup; 110g); see our explainer on buttermilk substitutes for more information,1 large egg (about 1 3/4 ounces; 50g), straight from the fridge,1/2 teaspoon orange flower water,5 3/4 ounces (about 1 1/4 cups, spooned; 165g) cake flour, any style (see notes),Optional garnishes: powdered sugar, preferably organic (see our explainer on organic powdered sugar for more information); fresh fruit; or toasted nuts",11,8,45 mins,332,3,37,20
French-Style Brown Butter New Potatoes Recipe,https://www.seriouseats.com/french-style-brown-butter-new-potatoes,"1 stick unsalted butter (4 ounces; 113g), cut into 1/2-inch pieces (see note),1 pound (450g) small new potatoes, rinsed (see note),Kosher or sea salt and freshly ground black pepper,4 sprigs fresh thyme or rosemary (optional),2 garlic cloves (optional),Sliced chives, for serving,Crème fraîche, for serving",0,4,60 mins,335,3,24,26
Ultimate Strawberry Popsicles Recipe,https://www.seriouseats.com/strawberry-popsicles,"15 ounces (425g) washed, hulled strawberries, halved (about 4 cups; see notes),3 ounces granulated sugar (1/4 cup plus 2 tablespoons; 85g),1/4 ounce (1 tablespoon plus 1 1/2 teaspoons; 5g) freeze-dried strawberry powder, optional (see notes),3/4 teaspoon fresh lemon juice from one lemon (3g),1/8 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume,3 ounces strawberry jam (1/4 cup plus 2 tablespoons; 85g)",7,6,8 hrs 10 mins,117,1,29,0
"Mango Shandy With Chile, Ginger, and Lime Recipe",https://www.seriouseats.com/mango-shandy,"2 cups (13 oz; 370g) cubed sweet, ripe mango, from 2 large or 4 medium mangoes (see note),One 1/4-inch piece (0.2 ounce; 4g) fresh ginger, peeled and sliced,1/2 small green jalapeño (0.3 oz; 8g), stemmed (see note),1/2 cup (120ml) cold water,Two 12-ounce (355ml) cans/bottles lager (see note),Two 12-ounce (355ml) cans/ bottles lemon-lime soda (see note),Freshly squeezed lime juice, to taste",0,8,5 mins,107,1,21,0
Citrus Salad With XO Sauce and Meyer Lemon Dressing Recipe,https://www.seriouseats.com/citrus-salad-with-xo-sauce-recipe,"2 pounds (900g) mixed citrus fruit (such as oranges, grapefruit, pomelos, tangelos, clementines, mandarins, and tangerines), peeled and cut into 1/4-inch-thick rounds, juices reserved separately (see note),2 scallions (40g), white and green parts divided, white parts minced, green parts thinly sliced on a bias,12 sprigs (12g) fresh cilantro, leaves and tender stems divided, stems minced,1 small green or red Thai chile, stemmed and minced (see note),1 teaspoon finely grated zest from 1 Meyer lemon (see note), plus 1 tablespoon (15ml) juice,1 tablespoon (15ml) honey,3 tablespoons (45ml) extra-virgin olive oil,1 teaspoon (5ml) toasted sesame oil (optional),Kosher salt,1/4 cup (75g) XO sauce,3 tablespoons (45g) roasted peanuts, coarsely chopped (optional)",0,4,10 mins,187,2,24,11
Fruity No-Churn Ice Cream Recipe,https://www.seriouseats.com/no-churn-fruit-ice-cream-recipe,"5 ounces egg white (about 2/3 cup; 140g),5 3/4 ounces sugar (about 3/4 cup; 165g),Heaping 1/4 teaspoon (1.5g) Diamond Crystal kosher salt, plus more to taste; for table salt, use about half as much by volume or the same weight,Shy 1/2 teaspoon (2g) cream of tartar, or 3/8 ounce lemon juice (1 shy tablespoon; 11g),12 ounces heavy cream (about 1 1/2 cups; 340g),Up to 2 1/4 ounces freeze-dried blueberries, ground to a fine powder (60g; volume will vary by brand and type); for other fruits, see note,1/8 teaspoon coriander, plus more to taste; for pairing suggestions for other fruits, see note,1/2 ounce complementary spirit, such as Smith & Cross Jamaica Rum or limoncello (about 1 tablespoon; 15g); for pairing suggestions for other fruits, see note",0,8,8 hrs,243,3,23,15
Ghanaian Goat and Tripe Peanut Stew (Groundnut Soup) Recipe,https://www.seriouseats.com/ghana-west-african-peanut-stew-goat-tripe-groundnut-soup,"8 ounces (225g) bleached honeycomb tripe, cut into 2- by 1-inch pieces (see note),2 medium yellow onions (about 12 ounces; 340g), halved and ends trimmed, divided,3 cups (720ml) homemade or store-bought low-sodium chicken broth, plus more as needed, divided,5 medium cloves garlic, divided,1 ounce (28g) fresh ginger (about a 1-inch knob), divided,2 teaspoons tomato paste,1 pound (454g) goat stew meat, cut into 2- to 3-inch cubes (see note),1 hot chili pepper, such as bird's eye, habanero, or Scotch bonnet (see note),2 bay leaves,1 cup creamy peanut butter (9 ounces; 255g),1 (28-ounce; 794g) can plum tomatoes,1 whole smoke-dried fish, such as tilapia (see note),Kosher salt and freshly ground black pepper,Hot cooked white rice or fufu, to serve (see note)",0,6,4 hrs 30 mins,545,37,40,29
Kaldereta Recipe,https://www.seriouseats.com/filipino-kaldereta-recipe-with-peanut-butter,"2 pounds goat meat, cut into two inch chunks. Cuts from the leg, shoulder, and loin will be the most tender. Beef round and lamb are both good substitutes.,1 teaspoon sea salt,1 teaspoon ground black pepper,1/2 cup olive oil,2 tablespoons butter,1 large yellow onion, chopped (about 3/4 cup),1 teaspoon garlic, minced,1 jalapeno pepper,1/2 cup tomato paste,1 can (28-ounce) crushed tomatoes, undrained,2 large sweet peppers (1 green and 1 red), coarsely chopped (about 2 cups),1 3/4 cups chicken stock,3/4 cup smooth peanut butter,2 ounces grated cheddar cheese,1/2 cup frozen green peas, thawed,6 cups cooked white rice, for serving",0,6,3 hrs 30 mins,918,51,79,46
"Goat or Lamb Ribs, Dong-Bei Style Recipe",https://www.seriouseats.com/lamb-or-goat-ribs-dong-bei-style-recipe,"1 rack of goat or lamb ribs,1/2 cup Shaoxing wine,1 onion, roughly chopped (about 1 1/2 cups),2 teaspoons kosher salt,1/4 cup whole cumin seeds,1/2 piece star anise,1 clove,12 to 16 small dried red chile peppers (optional),3 tablespoons vegetable oil or butter",0,4,3 hrs,421,21,8,32
Jamaican Goat Curry Recipe,https://www.seriouseats.com/jamaican-goat-curry-recipe,"1/4 cup vegetable oil,3 pounds bone-in goat meat for stew (about 2-inch chunks),2 medium onions, chopped medium (about 2 cups),3 medium garlic cloves, smashed,4 to 5 tablespoons Jamaican curry powder (spicy or non-spicy),2-inch piece ginger, peeled and minced (about 2 tablespoons minced),2 to 3 habanero or Scotch bonnet peppers, seeded and chopped,1 quart water or low-sodium chicken broth,Kosher salt,2 medium russet potatoes, peeled and cut into 1-inch cubes (about 2 cups)",0,6,3 hrs 45 mins,456,53,25,16
Hot and Numbing Shredded Lamb Noodle Soup Recipe,https://www.seriouseats.com/shredded-lamb-noodle-soup,"3 1/2 to 4 pounds (1.5 to 1.8kg) lamb shanks or lamb neck slices,2 tablespoons (18g) Diamond Crystal kosher salt; if using table salt, use half as much by volume or the same weight,2 tablespoons (30ml) vegetable oil, divided,2 tablespoons (30ml) Shaoxing wine or dry sherry wine,2 quarts (1920ml) store-bought or homemade chicken stock,2 cups (480ml) water,2 scallions (30g), trimmed and halved,2 medium cloves garlic, smashed,One 2-inch stick cinnamon,One 1-inch piece ginger, smashed,4 star anise pods,3/4 cup (180ml) canola oil,4 medium cloves garlic, finely minced,8-12 dried bird's eye chiles (6-10g), coarsely ground,2 tablespoons (16g) toasted cumin seeds, coarsely ground, plus extra whole seeds for serving,1 tablespoon (4g) Sichuan peppercorns, coarsely ground (see notes),1/4 teaspoon ground white pepper,1/3 cup (80ml) dark soy sauce,2 teaspoons (8g) sugar,6 servings hand-pulled noodles (lamian) or store-bought lamian or ramen noodles (see notes),4 scallions, sliced thinly,8 fresh cilantro sprigs, cut into 1-inch pieces",4,6,110 mins,1133,67,69,64
"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe",https://www.seriouseats.com/lamb-biryani,"2 pounds (910g) boneless leg of lamb, trimmed of excess fat and cut into 1-inch (2cm) cubes,1 cup plain, unsweetened full-fat yogurt,6 medium garlic cloves, peeled and finely grated,One 2–inch piece fresh ginger, peeled and grated,3 teaspoons Diamond Crystal kosher salt, divided; if using table salt, use half as much by volume,1/4 cup (60 ml) plus 2 teaspoons (10ml) ghee or neutral oil, such as grapeseed, divided,2 large yellow or white onions (26 ounces; 750g total), sliced thinly,5 green cardamom pods, lightly cracked, divided,1 cinnamon stick,4 cloves,2 dried bay leaves,1 teaspoon garam masala, store-bought or homemade,1 teaspoon ground Kashmiri chili (see note),1/2 teaspoon ground mace,1/2 teaspoon ground turmeric,1 cup (240ml) water or low-sodium stock (lamb, beef, or chicken),2 cups (400g) basmati rice,1/4 cup (60ml) fresh lemon or lime juice,1 bunch fresh cilantro leaves and tender stems, chopped,1 bunch fresh mint leaves, chopped,1 fresh green chile, such as a serrano or Thai bird, minced,1/4 cup (60ml) whole milk,20 strands of saffron, divided,2 teaspoons rosewater,2 teaspoons pandan (kewra/screwpine) water (see note)",16,6,10 hrs 10 mins,484,26,40,25
Braised Lamb Shoulder With Dried Chilies and Dates Recipe,https://www.seriouseats.com/braised-lamb-shoulder-with-dried-chiles-and-dates,"8 dried guajillo chiles (about 1 1/2 ounces; 45g total),3 dried morita chiles (about 1 ounce; 30g total),1 tablespoon cumin seeds,2 teaspoons coriander seeds,1 pound tomatillos (about 8 medium tomatillos; 450g), husked and quartered,4 medium cloves garlic (about 1 1/2 ounces; 45g total),8 pitted dates (about 2 ounces; 60g total),1 1/2 tablespoons (18g) Diamond Crystal kosher salt, divided; for table salt, use about half as much by volume or the same weight,6 pounds (2.7kg) bone-in lamb shoulder roast, with fat cap,Warm tortillas or rice, for serving,Diced cucumbers, diced avocado, sliced radishes, and/or Cotija cheese, for serving (optional)",0,8,5 hrs 30 mins,498,45,45,15
Slow-Roasted Boneless Leg of Lamb Recipe,https://www.seriouseats.com/slow-roasted-lamb-garlic-anchovy-lemon-rosemary-food-lab-recipe,"2 tablespoons extra-virgin olive oil,3 medium cloves garlic, minced (about 1 tablespoon),1 medium shallot, minced (about 1/2 cup),6 anchovy filets, minced (about 3 tablespoons),2 tablespoons finely chopped fresh rosemary leaves,1 tablespoon zest from 1 lemon,1/2 teaspoon red pepper flakes,2 tablespoons kosher salt,1/2 teaspoon freshly ground black pepper,1 whole butterflied boneless leg of lamb, carefully trimmed of internal fat and connective tissue, 10 to 12 pounds",20,14,4 hrs 10 mins,863,84,1,56
Vanilla Rice Pudding,https://www.seriouseats.com/vanilla-rice-pudding-5189760,"3 1/2 ounces (1/2 cup; 100g) sugar,1/2 vanilla bean, split and seeds scraped (see note),4 cups (950ml) whole milk, plus extra to adjust consistency (see note),7 ounces (1 1/3 cups; 200g) cooked long- or medium-grain white rice,1/4 teaspoon Diamond Crystal kosher salt; for table salt, use half as much by volume,Add-ins and flavorings, as desired (see ""Suggested Variations"" section above for tips and instructions)",0,8,70 mins,156,5,25,4
Classic Vanilla Ice Milk Recipe,https://www.seriouseats.com/vanilla-ice-milk-recipe,"9 1/4 ounces plain or very lightly toasted sugar (about 1 1/3 cups; 262g),1 1/4 ounces cornstarch (about 1/4 cup; 35g),1 3/4 ounces powdered milk (about 1/4 cup; 50g),1 teaspoon (4g) Diamond Crystal kosher salt (plus more if desired); for table salt, use about half as much by volume or the same weight,28 ounces whole milk (about 3 1/2 cups; 795g), divided,1/2 teaspoon vanilla extract",0,10,5 hrs,182,4,36,3
Carrot Raita Recipe,https://www.seriouseats.com/carrot-raita-tadka,"1 cup (240g) plain Greek yogurt, preferably full-fat,1/2 cup (120ml) water,1 tablespoon (15ml) fresh juice from 1 lime,Fine sea salt or kosher salt,1/2 teaspoon  freshly ground black pepper,1 large carrot, peeled and finely grated (about 8 ounces; 225g),2 small shallots, minced (2 ounces; 55g or about 1/4 cup), see note,1 teaspoon peeled, grated fresh ginger,1 serrano, Indian, Thai, or other small hot green chile, stemmed and finely minced (see note),2 tablespoons (30ml) mustard oil or neutral-tasting oil, like grapeseed or canola,1 teaspoon black or brown mustard seeds (see note),1 teaspoon caraway seeds,1 teaspoon Kashmiri red chili powder or 3/4 teaspoon smoked sweet paprika,1/4 teaspoon cayenne pepper",0,16,15 mins,28,2,3,1
Fior di Latte Gelato Recipe,https://www.seriouseats.com/fior-di-latte-gelato,"9 1/4 ounces plain or very lightly toasted sugar (about 1 1/3 cups; 265g),1 1/4 ounces cornstarch (about 1/4 cup; 35g),1/2 plus 1/8 teaspoon (2.5g) Diamond Crystal kosher salt, or more to taste; for table salt, use about half as much by volume or the same weight,20 ounces best quality whole milk, preferably grass-fed, divided (about 2 1/2 cups; 565g),8 ounces best quality heavy cream, preferably grass-fed (about 1 cup; 225g)",12,8,5 hrs,284,3,41,12
Yam Woon Sen (Thai Glass Noodle Salad With Shrimp),https://www.seriouseats.com/yam-woon-sen-glass-noodle-salad-5206676,,0,4,20 mins,0,0,0,0
Cold Sesame Noodles,https://www.seriouseats.com/cold-sesame-noodles-5198660,,0,4,80 mins,0,0,0,0
Hand-Pulled Lamian Noodles Recipe,https://www.seriouseats.com/hand-pulled-lamian-noodles,"425g (15 ounces; 3 cups) bread flour, plus more for dusting,28g (1 ounce; 1/2 cup) nutritional yeast (see note),4g (1 teaspoon) Diamond Crystal kosher salt; for table salt, use about half as much by volume or the same weight,285g (10 ounces; 1 cup plus 3 tablespoons) cool water,1 tablespoon (15ml) vegetable oil",27,4,55 mins,437,16,80,6
