Recipe,Url,Ingredients,Ratings,Serving,Prepration_Time,Calories,Protein,Carbohydrate,Fat
Pasta Burro e Alici (Pasta With Creamy Anchovy-Butter Sauce) Recipe,https://www.seriouseats.com/pasta-burro-e-alici,"8 ounces (225g) fresh, lightly-stale, or fully stale bread, cut into 3/4- to 1-inch pieces (see notes),1 tablespoon (15ml) extra-virgin olive oil,Kosher salt and freshly ground black pepper,4 ounces (8 tablespoons; 115g) unsalted butter, divided,8 to 12 anchovy fillets (30 to 50g) (see notes),12 ounces (340g) dried long pasta such as spaghetti, spaghettoni, or bucatini,1 teaspoon (5ml) fresh lemon juice, plus finely grated zest of 1 lemon,1/2 cup (60g) toasted breadcrumbs,1 loosely packed cup (1/2 ounce; 15g) fresh parsley leaves and tender stems, finely chopped",9,4,20 mins,652,21,74,30
Orecchiette con le Cime di Rapa (Apulian Orecchiette With Broccoli Rabe) Recipe,https://www.seriouseats.com/orecchiette-con-le-cime-di-rapa,"4 ounces (115g) rustic bread, cut into 3/4- to 1-inch pieces,1 garlic clove (5g), minced,2 tablespoons (30ml) extra-virgin olive oil,Kosher salt and freshly ground black pepper,1/4 cup (60ml) extra-virgin olive oil, plus more for drizzling,4 anchovy fillets (5g),3 garlic cloves (15g), minced,1/2 teaspoon red pepper flakes,12 ounces (340g) dried orecchiette,1 pound (450g) broccoli rabe (rapini), leaves and florets picked from stalks, stalks discarded or reserved for another use (see note)",0,4,45 mins,438,12,48,23
Pasta Con le Sarde (Sicilian Pasta With Sardines) Recipe,https://www.seriouseats.com/pasta-pasta-con-le-sarde-sicilian-pasta-with-sardines,"1/2 cup (120ml) dry white wine,1 1/2 ounces (45g) golden raisins (about 1/4 cup),Pinch saffron, optional,4 1/2 tablespoons (67ml) extra-virgin olive oil, divided, plus more as needed,1/2 teaspoon ground fennel seed,1 1/4 ounces (35g) panko bread crumbs (about 1/2 cup),Kosher salt and freshly ground black pepper,1 cup minced peeled and cored fennel bulb (about half of one large 1 1/2-pound fennel bulb with fronds), fronds reserved,1 cup minced yellow onion (about half of one large 1-pound onion),4 oil-packed anchovy fillets,1 1/4 ounces (35g) pine nuts (about 1/4 cup), toasted,5 whole sardines (about 3/4 pound/340g total), filleted and cut into 1-inch pieces,1 pound (450g) bucatini or spaghetti",0,4,35 mins,749,38,59,40
46 Saucy Italian Pasta Dishes You Should Know and Love,https://www.seriouseats.com/essential-italian-pasta-sauces,,0,0,0,0,0,0,0
Pasta With Spicy 'Nduja-Tomato Sauce Recipe,https://www.seriouseats.com/spicy-nduja-tomato-sauce,"1 tablespoon (15ml) extra-virgin olive oil,2 large shallots (about 3 ounces; 90g), thinly sliced,Kosher salt,One (24.5-ounce; 700g) bottle tomato passata (see note),4 ounces (1/2 cup; 115g) 'nduja (see note),1 pound (450g) dried ziti, candele (broken into 3-inch pieces), or other short tubular pasta,2 ounces (60g) finely grated Pecorino Romano cheese",0,4,45 mins,525,28,41,29
Pasta With Beans and Greens Recipe,https://www.seriouseats.com/pasta-with-beans-and-greens,"1/4 cup (60ml) extra-virgin olive oil,4 medium garlic cloves (20g), thinly sliced,3 anchovy fillets (5g) (optional; see note),1/2 teaspoon (1g) red pepper flakes,1/4 cup (60ml) dry white wine,1 pound 5 ounces (3 cups; 600g) cooked dry white beans (such as cannellini or Great Northern) or two (15-ounce; 425g) cans low-sodium white beans, drained and rinsed (see note),1 cup (240ml) bean cooking liquid, homemade or store-bought low-sodium chicken stock, or vegetable stock (see note),Kosher salt,12 ounces (350g) short tubular pasta, such as paccheri or rigatoni,1 bunch (8 ounces; 225g) lacinato kale, tough stems removed, leaves cut into 2-inch pieces (see note),2 1/4 ounces (3/4 cup; 65g) grated Pecorino Romano cheese, divided",11,4,35 mins,592,27,72,19
Creamy Pasta With Mushrooms (Pasta ai Funghi) Recipe,https://www.seriouseats.com/mushroom-pasta-creamy,"1 cup (240ml) homemade or store-bought low sodium chicken stock,1 1/2 teaspoons (4g) powdered gelatin, such as Knox,2 tablespoons (30ml) extra-virgin olive oil,1 1/2 pounds (675g) mixed mushrooms (such as shiitake, oyster, maitake, beech, cremini, and chanterelles), cleaned, trimmed, and thinly sliced or torn by hand (see note),Kosher salt and freshly ground black pepper,3 medium shallots, finely minced (about 3/4 cup; 120g),2 medium (10g) garlic cloves, minced,2 tablespoons (4g) chopped fresh thyme leaves,1/2 cup (120ml) dry white wine or 1/4 cup (60ml) dry sherry,1 teaspoon (5ml) fish sauce (optional),1 pound (450g) short dried pasta (such as casarecce or gemelli) or long fresh egg-dough pasta (such as tagliatelle or fettuccine),6 tablespoons unsalted butter (3 ounces; 85g),3 ounces grated Parmigiano-Reggiano (1 cup; 85g),1/4 cup (10g) chopped fresh flat-leaf parsley leaves",11,4,45 mins,548,18,52,31
"Pasta Alla Zozzona (Rigatoni With Sausage, Guanciale, and Egg Yolks) Recipe",https://www.seriouseats.com/pasta-alla-zozzona-rigatoni-with-sausage-and-egg-yolks,"3 large egg yolks (45g),2 ounces (60g) finely grated Pecorino Romano cheese, plus more for serving,Kosher salt and freshly ground black pepper,4 ounces (115g) guanciale (cured pork jowl) or pancetta, cut into 1/4-inch-thick batons (see note),6 ounces (170g) sweet or hot Italian sausage (2 links), removed from casing,1 small onion (about 4 ounces; 115g), finely chopped,Pinch red pepper flakes (optional),2 cups (500g) tomato passata (see note),12 ounces (340g) rigatoni",0,4,50 mins,609,26,37,39
Pasta alla Genovese (Pasta With Neapolitan Beef and Onion Ragù) Recipe,https://www.seriouseats.com/pasta-alla-genovese-neapolitan-beef-ragu,"1 1/2 pounds (700g) boneless beef chuck roast, trimmed and cut into 4-by-3-inch pieces,Kosher salt and freshly ground black pepper,1/4 cup (60g; 60ml) lard or extra-virgin olive oil (see note),3 1/2 ounces (100g) carrots, peeled and cut into small dice (2 small carrots),1 celery rib (75g), trimmed and cut into small dice,3 pounds (1.4kg) yellow or red onions, thinly sliced, divided,1 tablespoon (15g) tomato paste,1 cup (240ml) dry white wine, divided,1 bay leaf,5 ounces (150g) cherry tomatoes (optional, see note),1 pound (450g) short tubular dried pasta such as ziti, paccheri, or rigatoni (see note),1 loosely packed cup (1/2 ounce; 15g) fresh parsley leaves and tender stems, finely chopped,Finely grated Pecorino Romano or Parmigiano-Reggiano, for serving",4,6,4 hrs,778,43,83,29
Pasta al Tonno (Pasta With Tomatoes and Tuna) Recipe,https://www.seriouseats.com/pasta-al-tonno,"3 tablespoons (45ml) extra-virgin olive oil,3 medium garlic cloves (15g), lightly crushed,1/4 teaspoon red pepper flakes,One 28-ounce (800g) can whole peeled tomatoes, coarsely crushed by hand,Kosher salt,1 teaspoon (5ml) fish sauce (optional),10 1/2 ounces (300g) olive oil-packed tuna, drained and gently flaked into 2-inch pieces (see note),12 ounces (340g) dried long pasta such as spaghetti, spaghettoni, bucatini, or linguine,1 packed cup (3/4 ounce; 25g) flat-leaf parsley leaves and tender stems, finely chopped",5,4,30 mins,543,28,73,16
Pasta alla Norcina (Creamy Pasta With Sausage) Recipe,https://www.seriouseats.com/pasta-alla-norcina-creamy-pasta-with-sausage,"12 ounces (340g) coarsely ground pork, chilled (see note),1 large garlic clove (8g), minced,1 1/2 teaspoons (6g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,3/4 teaspoon (2g) freshly ground black pepper,Pinch freshly grated nutmeg,2 tablespoons (30ml) dry white wine, chilled,2 tablespoons (30ml) extra-virgin olive oil,1 recipe sausage mixture (from above) or 12 ounces (340g) fresh pork sausage (4 links), removed from casing (see note),1 small yellow onion (about 3 1/2 ounces; 100g), finely chopped,1/2 cup (120ml) dry white wine,1 cup (240 ml) heavy cream,Kosher salt and freshly ground black pepper,12 ounces (340g) dried, short, tubular pasta such as penne or rigatoni or long fresh egg-dough pasta such as tagliatelle or fettuccine,1 1/2 ounces (45g) finely grated Pecorino Romano, plus extra for serving,Freshly grated nutmeg, for serving,Freshly shaved or grated black truffle, for serving (optional; see note)",6,4,90 mins,986,39,72,51
Spaghetti and Meatballs Recipe,https://www.seriouseats.com/spaghetti-with-meatballs,"2 1/2 ounces (75g) fresh, crustless white bread, cut into 1/2-inch cubes (about 2 unpacked cups),1/2 cup (120ml) whole milk,1 medium (8-ounce; 225g) yellow onion, minced,6 medium cloves garlic (about 1 ounce; 30g), finely minced,1 1/2 ounces (45g) Parmigiano-Reggiano, grated,3 ounces (85g) pancetta, finely minced,3 large egg yolks,1/3 cup loosely packed fresh parsley leaves and tender stems (3/4 ounce; 20g), minced,2 teaspoons Diamond Crystal kosher salt (8g); for table salt use half as much by volume or the same weight,1/2 teaspoon freshly ground black pepper,3/4 teaspoon dried oregano,3/4 teaspoon ground fennel seed,1 pound (450g) ground beef (at least 25% fat; see note),1/2 pound (225g) ground pork (at least 25% fat; see note),3 tablespoons (45ml) extra-virgin olive oil,2 quarts (2L) tomato sauce, such as Quick and Easy Italian-American Red Sauce,1 pound (450g) spaghetti,Kosher salt,2 ounces (55g) finely grated Parmigiano-Reggiano, plus more for sprinkling",4,8,90 mins,810,46,68,39
Orecchiette con Salsiccia e Cime di Rapa (Orecchiette With Sausage and Broccoli Rabe) Recipe,https://www.seriouseats.com/orecchiette-broccoli-rabe-sausage,,0,4,30 mins,0,0,0,0
Puff Puff (Nigerian Fried Yeasted Dough),https://www.seriouseats.com/puff-puff-5537120,,0,12,85 mins,0,0,0,0
Vegetable Biryani,https://www.seriouseats.com/vegetable-biryani-5324853,,0,6,95 mins,0,0,0,0
"The Genius of Crispy Deep Fried Artichokes, Roman-Jewish Style",https://www.seriouseats.com/how-to-make-roman-jewush-fried-artichokes,,0,0,0,0,0,0,0
Chinese Spinach and Peanut Salad,https://www.seriouseats.com/chinese-spinach-and-peanut-salad-recipe-6265685,,0,2,30 mins,0,0,0,0
Puff Puff (Nigerian Fried Yeasted Dough),https://www.seriouseats.com/puff-puff-5537120,,0,12,85 mins,0,0,0,0
Extra-Crunchy Potato Chips Recipe,https://www.seriouseats.com/extra-crunchy-potato-chips,"1 pound russet potatoes (about 2 large), sliced 1/8 of an inch thick on a mandoline slicer, rinsed under cold running water and stored in water,2 tablespoons distilled white vinegar,2 quarts canola or peanut oil,Kosher salt",0,4,60 mins,268,3,24,18
Easy Roman Braised Artichoke Hearts (Carciofi alla Romana) Recipe,https://www.seriouseats.com/carciofi-alla-romana-roman-italian-braised-artichoke-recipe,"2 whole lemons (for maintaining artichokes' color),4 large or 12 small artichokes (2 pounds; 1kg),1/4 cup (7g) minced flat-leaf parsley leaves,2 tablespoons minced fresh mint leaves,2 tablespoons minced fresh oregano leaves,3 medium cloves garlic, minced,1/4 cup (60ml) extra-virgin olive oil, plus more for drizzling,1/4 cup (60ml) dry white wine,Kosher salt and freshly ground black pepper",0,4,60 mins,305,7,34,18
Taiwanese Deep-Fried Squid Balls Recipe,https://www.seriouseats.com/taiwanese-deep-fried-squid-balls-recipe-5218071,,0,4,6 hrs,0,0,0,0
Suanla Tudousi (Hot-and-Sour Sichuan Stir-Fried Potatoes) Recipe,https://www.seriouseats.com/sichuan-stir-fried-potatoes-recipe-5218068,,0,2,40 mins,0,0,0,0
Dodo (Nigerian Plantains) Recipe,https://www.seriouseats.com/dodo-nigerian-plantains-recipe-5235320,,0,4,25 mins,0,0,0,0
Filetti di Baccalà (Roman-Style Fried Salt Cod Fillets),https://www.seriouseats.com/filetti-di-baccala-roman-style-fried-salt-cod-5212624,,0,8,72 hrs 40 mins,0,0,0,0
Aloo Gobi,https://www.seriouseats.com/aloo-gobi-recipe-5220973,,0,6,75 mins,0,0,0,0
Patatas Bravas,https://www.seriouseats.com/patatas-bravas-tapas-recipe,"2 tablespoons (30ml) extra-virgin olive oil,1 small onion (5 ounces; 140g), roughly chopped,3 medium garlic cloves (15g), roughly chopped,Kosher salt,1 tablespoon (10g) pimentón dulce (sweet smoked Spanish paprika),2 teaspoons (6g) pimentón picante (hot smoked Spanish paprika) (see note),1 tablespoon (15g) tomato paste,2 tablespoons (15g) all-purpose flour,1 cup (240ml) homemade chicken stock or store-bought low-sodium chicken broth,2 teaspoons (10ml) sherry vinegar,2 pounds (900g) russet potatoes, cut into 3/4- to 1-inch cubes,2 tablespoons (30ml) distilled white vinegar,Kosher salt and freshly ground black pepper,3 cups (710ml) peanut or canola oil, for frying,1 cup (240ml) allioli, for serving",5,6,45 mins,590,7,40,46
Salchipapa (Peruvian Hot Dogs and French Fries),https://www.seriouseats.com/salchipapa-recipe-5217298,,0,8,105 mins,0,0,0,0
Shoestring Fries,https://www.seriouseats.com/shoestring-fries-5217430,,0,4,3 hrs 30 mins,0,0,0,0
Cooking With Olive Oil: Should You Fry and Sear in It or Not?,https://www.seriouseats.com/cooking-with-olive-oil-faq-safety-flavor,,0,0,0,0,0,0,0
5-Ingredient Fried Chicken Sandwiches Recipe,https://www.seriouseats.com/five-ingredient-fried-chicken-sandwich-recipe,"1 jar sliced pickles, such as Vlasic, with brine,4 boneless, skinless chicken thighs,Kosher salt and freshly ground black pepper,1 cup buttermilk,1 1/2 cups self-rising flour,1 quart peanut, vegetable, or canola oil,4 soft hamburger buns or potato rolls, toasted",16,4,95 mins,708,45,60,32
Potato Croquettes,https://www.seriouseats.com/potato-croquettes-recipe-5217324,,0,6,2 hrs,0,0,0,0
Asparagus Goes Deluxe With Miso Béarnaise,https://www.seriouseats.com/asparagus-goes-deluxe-with-miso-bearnaise,,0,0,0,0,0,0,0
Foolproof Béarnaise Sauce Recipe,https://www.seriouseats.com/foolproof-bearnaise-sauce-recipe,"1/2 cup dry white wine,1/4 cup white wine vinegar,3 sprigs chervil, leaves finely minced, stems reserved separately (optional; if not using add an extra sprig of tarragon),3 sprigs tarragon, leaves finely minced, stems reserved separately,1 small shallot, thinly sliced,1/2 teaspoon whole black peppercorns,2 large egg yolks,Kosher salt,1 1/2 sticks (12 tablespoons) unsalted butter",9,14,30 mins,121,1,1,11
Patatas Bravas,https://www.seriouseats.com/patatas-bravas-tapas-recipe,"2 tablespoons (30ml) extra-virgin olive oil,1 small onion (5 ounces; 140g), roughly chopped,3 medium garlic cloves (15g), roughly chopped,Kosher salt,1 tablespoon (10g) pimentón dulce (sweet smoked Spanish paprika),2 teaspoons (6g) pimentón picante (hot smoked Spanish paprika) (see note),1 tablespoon (15g) tomato paste,2 tablespoons (15g) all-purpose flour,1 cup (240ml) homemade chicken stock or store-bought low-sodium chicken broth,2 teaspoons (10ml) sherry vinegar,2 pounds (900g) russet potatoes, cut into 3/4- to 1-inch cubes,2 tablespoons (30ml) distilled white vinegar,Kosher salt and freshly ground black pepper,3 cups (710ml) peanut or canola oil, for frying,1 cup (240ml) allioli, for serving",5,6,45 mins,590,7,40,46
Air-Fryer Brussels Sprouts With Preserved Lemon–Caesar Dressing,https://www.seriouseats.com/air-fryer-brussels-sprouts-with-preserved-lemon-caesar-dressing-5213458,,0,6,45 mins,0,0,0,0
Thanksgiving Stuffed Roast Pumpkins Recipe,https://www.seriouseats.com/stuffed-pumpkin-vegetarian-thanksgiving-main-recipe,"4 small sugar pumpkins (1 1/2 to 2 pounds each; 675 to 900g),1 large skin-on kabocha squash (about 2 pounds; 900g), halved and seeded,Extra-virgin olive oil, for drizzling,Kosher salt and freshly ground black pepper,2 tablespoons (30ml) extra-virgin olive oil,1 pound (450g) shiitake mushrooms (or a mix of mushrooms, such as oyster, chanterelles, and beech), stemmed, cleaned, and thinly sliced (see note),Kosher salt and freshly ground black pepper,8 ounces (225g) lacinato kale (a.k.a. dinosaur, Tuscan, or black kale), tough stems removed, leaves cut into 1-inch pieces,4 tablespoons (60g) unsalted butter, cut into 4 pieces,2 medium shallots, finely minced (about 1/2 cup; 80g),1 medium garlic clove, minced,2 tablespoons chopped fresh thyme leaves,1/4 cup (60ml) sherry,1 tablespoon (15ml) sherry vinegar,2 cups (475ml) heavy cream,1 cup (240ml) whole milk,1/2 teaspoon ground cinnamon,1/2 teaspoon paprika,1/4 teaspoon ground nutmeg,1/4 teaspoon ground ginger,Pinch ground cloves,Kosher salt and freshly ground black pepper,2 tablespoons (40g) red miso paste,2 tablespoons (30ml) honey,1 tablespoon (15ml) water,10 ounces (285g) high-quality rustic bread, cut into 3/4-inch dice and toasted until dry,3/4 cup (120g) pepitas (shelled pumpkin seeds), toasted,3/4 cup (90g) pecans, toasted and roughly chopped,8 ounces (225g) shredded Gruyère cheese",10,8,2 hrs,852,26,56,63
Outdoor Pizza Oven Charred Broccoli Rabe and Anchovy Pizza,https://www.seriouseats.com/charred-broccoli-rabe-pecorino-anchovy-pizza-5212243,,0,4,105 mins,0,0,0,0
Choron Sauce: The Tomatoey Béarnaise That Belongs on Your Steak,https://www.seriouseats.com/how-to-make-choron-sauce-steak-hollandaise-tomato-bearnaise,,0,0,0,0,0,0,0
Poached Chicken and Asparagus With Green Goddess Sauce Recipe,https://www.seriouseats.com/poached-chicken-asparagus-green-goddess-sauce-recipe,,0,6,75 mins,0,0,0,0
"Sautéed Asparagus With Chorizo, Fried Eggs, and Smoked-Paprika Allioli Recipe",https://www.seriouseats.com/asparagus-chorizo-fried-eggs-smoked-paprika-aioli-allioli-mayonnaise-recipe,"1 large egg,1 teaspoon Dijon mustard,1 teaspoon fresh juice from 1 lemon,1 medium clove garlic, minced,1 teaspoon mild (dulce) smoked paprika,1/2 cup canola oil,1/4 cup extra-virgin olive oil,Kosher salt and freshly ground black pepper,2 tablespoons extra-virgin olive oil,4 ounces Spanish-style dry-cured chorizo, finely diced,3/4 pound thin asparagus, trimmed and cut into 2-inch lengths,2 medium cloves garlic, finely sliced,1/2 teaspoons sherry or red wine vinegar,2 large eggs",0,2,15 mins,697,26,10,62
Crispy Pork Shoulder Hash With Charred Asparagus and Serrano Chile Recipe,https://www.seriouseats.com/crispy-pork-shoulder-asparagus-hash,"1 1/2 pounds (675g) Yukon gold or russet potatoes, cut into 3/4-inch dice (see note),2 tablespoons (30ml) distilled white vinegar,Kosher salt and freshly ground black pepper,10 ounces (285g) asparagus (about 1 bunch), woody ends trimmed,1 fresh serrano chile (about 10g),1/4 cup (60ml) rendered pork fat from roast pork shoulder or vegetable oil, divided (see note),12 ounces (340g) roast pork shoulder, pulled into 2-inch long pieces (see note),1/2 teaspoon ground coriander,1/4 teaspoon chile powder,1/4 teaspoon ground cumin,Reserved drippings from roast pork shoulder (optional),Thinly sliced scallions and/or roughly chopped fresh cilantro leaves and tender stems,Fried eggs (optional),Warmed corn or flour tortillas (optional),Lime wedges,Homemade or store-bought salsa verde (optional)",0,4,50 mins,557,26,43,32
Roasted Oyster Mushroom and Watercress Salad Recipe,https://www.seriouseats.com/oyster-mushroom-watercress-salad-recipe,"1 small shallot, minced (about 2 tablespoons),1 small clove garlic, minced (about 1/2 teaspoon),2 teaspoons Dijon mustard,3 tablespoons white wine vinegar,1 tablespoon water,1 packed tablespoon roughly chopped fresh tarragon leaves,3/4 cup extra-virgin olive oil,Kosher salt and freshly ground black pepper,Vegetable or canola oil, for searing mushrooms,1 pound oyster mushrooms, firm central stems removed, mushroom caps separated, large caps torn by hand vertically into smaller pieces,4 ounces fresh watercress, cut or torn into smaller pieces if stalks are large,3 ounces Parmigiano-Reggiano or Grana Padano cheese, shaved with a vegetable peeler",0,4,25 mins,334,11,11,29
Asparagus alla Milanese (Poached Asparagus With Fried Egg and Parmesan Cheese) Recipe,https://www.seriouseats.com/asparagus-alla-milanese-poached-asparagus-with-fried-egg-and-parmesan-cheese,"Kosher salt,1/2 pound (225g) asparagus, woody ends trimmed,1 large egg,1 1/2 tablespoons (22g) unsalted butter,Extra-virgin olive oil, for drizzling,Parmigiano-Reggiano cheese, for grating,Freshly ground black pepper",0,2,15 mins,260,10,7,22
Charred Broccoli With Taleggio Cheese Sauce and Gremolata Recipe,https://www.seriouseats.com/charred-broccoli-with-taleggio-cheese-sauce-and-gremolata,"8 ounces (225g) Taleggio cheese, rind removed and cut into 1/2-inch pieces (see note),1/2 cup (120ml)  heavy cream,2 heads broccoli (about 2 pounds; 900g),1/3 cup (80ml) extra-virgin olive oil,1/3 cup (15g) chopped fresh flat-leaf parsley leaves and tender stems,1 small green jalapeño (about 1/2 ounce; 15g), stemmed, seeded, and finely minced,1 medium clove garlic, minced,Finely grated zest of 1 lemon,Kosher salt and freshly ground black pepper,3 tablespoons (45ml) vegetable oil, plus more as needed",0,4,45 mins,601,16,18,54
Choron Sauce (Tomato-Spiked Béarnaise Sauce) Recipe,https://www.seriouseats.com/choron-sauce-hollandaise-bearnaise-tomato-recipe,"1 recipe Foolproof Béarnaise Sauce,1/4 cup Quick-Cooked Tomato Coulis (see note),White wine vinegar, to taste",0,16,35 mins,137,1,1,15
"17 Immersion Blender Recipes for Easier Soups, Purées, and More",https://www.seriouseats.com/immersion-blender-recipes,,0,0,0,0,0,0,0
Charred Asparagus Tacos With Creamy Adobo and Pickled Red Onions Recipe,https://www.seriouseats.com/charred-asparagus-tacos-with-creamy-adobo-and-pickled-red-onions-recipe,"2 ancho chiles, stemmed and seeded,2 tablespoons vegetable oil,1 small onion, finely sliced,2 medium cloves garlic, grated on a microplane grater (about 2 teaspoons),2 teaspoons dried oregano,1 tablespoon cider vinegar,1 chipotle chile and 1 tablespoon sauce from 1 can chipotles in adobo,2/3 cup sour cream or Mexican crema,2 teaspoons fresh juice from 2 limes,Kosher salt and freshly ground black pepper,2 1/2 pounds asparagus (green, white, or a mix), bottoms trimmed, cut into 1-inch segments,24 corn tortillas warmed,Pickled Red Onion,Queso fresco or queso cotija,Fresh cilantro leaves,Lime wedges",0,4,30 mins,569,20,66,29
French Fries,https://www.seriouseats.com/perfect-french-fries-recipe,"2 pounds russet potatoes (900g; about 4 large potatoes), peeled and cut into 1/4-inch by 1/4-inch fries (keep raw potato sticks submerged in a bowl of water after cutting),2 tablespoons (30ml) distilled white vinegar,Kosher salt,2 quarts (1.9L) peanut oil",23,4,105 mins,379,6,49,18
Latkes,https://www.seriouseats.com/old-fashioned-latkes-chanukah-hanukah-potato-pancakes,"4 1/2 pounds (2kg) russet potatoes (about 7 medium-large),5 cups diced onion,4 large eggs,1 1/4 cups matzo meal (more or less as needed),2 tablespoons (24g) kosher salt, to taste,Canola or peanut oil, for frying,Applesauce and sour cream, for serving",10,16,60 mins,286,7,51,6
Aloo Paratha,https://www.seriouseats.com/aloo-paratha,"2 cups (11 1/4 ounces; 320g) atta, or a combination of 1 1/2 cups (7 1/2 ounces; 210g) all-purpose flour, such as Gold Medal Blue Label, and 1/2 cup (2 1/2 ounces; 70g) whole wheat flour,1 teaspoon (4g) Diamond Crystal kosher salt; if using table salt, use half as much by volume or the same weight,2 tablespoons (30ml) neutral cooking oil, such as grapeseed or canola, or melted ghee,1 cup water (240ml), warmed to 160°F (70°C),4 medium Russet potatoes (about 1 3/4 pounds; 800g), peeled and cut into 1-inch (5-cm) chunks,1 teaspoon (4g) Diamond Crystal kosher salt; if using table salt, use half as much by volume or the same weight,1 shallot (60g), peeled and minced,One 1-inch (2.5cm) piece fresh ginger, peeled and cut into thin matchsticks,2 tablespoons minced fresh cilantro leaves and tender stems,1 fresh green chile, such as Serrano, minced,1 teaspoon ground cumin,1 teaspoon ground coriander,1 teaspoon smoked paprika,1/2 teaspoon freshly ground black pepper,1/4 teaspoon ground cayenne,Neutral cooking oil, such as grapeseed or canola, or melted ghee, for brushing dough rounds and cooking parathas (about 1/2 cup; 120ml)",6,8,2 hrs 25 mins,348,6,45,17
Pierogi,https://www.seriouseats.com/pierogi-recipe-5220146,,0,6,2 hrs,0,0,0,0
Aloo Gobi,https://www.seriouseats.com/aloo-gobi-recipe-5220973,,0,6,75 mins,0,0,0,0
Masala Dosa,https://www.seriouseats.com/masala-dosa-potato-filled-rice-and-lentil-crepe,"5 medium russet potatoes (about 43 ounces; 1.2kg), peeled and cut into 1-inch pieces,1 tablespoon (12g) Diamond Crystal kosher salt, plus more for seasoning the filling,2 tablespoons (24g) sugar, divided,3 tablespoons (42g) apple cider vinegar, divided,1/2 cup ghee or neutral oil, such as vegetable, peanut, or canola (3 1/2 ounces; 100g), plus additional ghee for cooking the dosa,1 medium onion (about 9 1/2 ounces; 265g), thinly sliced,1 1/2 teaspoons (3g) black mustard seeds,1/2 teaspoon (1g) cumin seeds,1 tablespoon (15g) chana dal (yellow lentils),1 teaspoon (3g) ground turmeric,1/2 teaspoon (1g) Kashmiri red chile powder,1 pinch asafetida,1 Thai green chile, split (about 5g),1/3 cup toasted cashews (1.8 ounces; 50g),1/4 bunch cilantro leaves and tender stems (about 1 ounce; 28g), chopped,1 recipe dosa batter,Coconut Chutney, for serving",0,16,60 mins,256,5,33,12
Rösti,https://www.seriouseats.com/rosti-recipe-5217302,,4,4,9 hrs,0,0,0,0
Gamja Bokkeum,https://www.seriouseats.com/korean-soy-glazed-potatoes-gamja-bokkeum-recipe,"3 tablespoons (45ml) soy sauce (see note),3 tablespoons (45ml) water,2 tablespoons (30g) sugar,1 teaspoon (5ml) fish sauce,1 medium clove garlic (5g), finely grated,2 tablespoons (30ml) vegetable oil,10 ounces (285g) small Yukon Gold potatoes, rinsed and halved (see note),1 tablespoon (15ml) toasted sesame oil,1 tablespoon (6g) toasted sesame seeds",4,4,25 mins,198,3,23,11
Fried Papas Criollas,https://www.seriouseats.com/fried-papas-criollas-colombian-style-creamy-fried-potatoes-recipe,"1 pound small yellow potatoes, preferably papas criollas (available in some Latin specialty stores) (see note),2 cups vegetable oil,Kosher salt,1 recipe ají (Colombian-style salsa)",0,6,15 mins,298,3,19,25
Poutine,https://www.seriouseats.com/ultimate-perfect-poutine-fries-cheese-curds-gravy-recipe,"1/4 cup unsalted butter,1/4 cup all-purpose flour,1 tablespoon rice vinegar,Kosher salt,3 cups Pressure Cooker Beef Stock (see notes),4 large russet potatoes (about 2 pounds), cut into 1/4-inch sticks on a mandoline,2 quarts peanut oil,12 ounces freshly made white cheddar cheese curds (preferably not more than 24 hours old), either store-bought or homemade, at room temperature and broken into bite-size pieces",0,6,5 hrs,595,21,40,39
Caldo Verde,https://www.seriouseats.com/caldo-verde-portuguese-potato-kale-soup-recipe,"2 tablespoons (30g) unsalted butter,1 medium yellow onion or large leek, finely diced (about 8 ounces; 225g),3 medium cloves garlic, sliced (about 1 tablespoon; 15g),Kosher salt and freshly ground black pepper,About 6 tablespoons (90ml) extra-virgin olive oil,1 large russet potato, peeled, quartered, and cut into 1/4-inch slices (about 1/2 pound; 225g),2 medium Yukon Gold potatoes, peeled, quartered, and cut into 1/4-inch slices (about 1/2 pound; 225g),6 cups (1.4L) homemade or store-bought low-sodium chicken stock (see note),1 bunch curly or lacinato kale, tough stems removed, leaves finely chopped (about 3/4 pound; 340g,12 ounces (340g) cooked linguiça or other garlicky pork sausage, cut into 1/4- to 1/2-inch slices (see note),Minced fresh chives, for garnish (optional)",7,6,45 mins,484,15,25,37
Ajiaco,https://www.seriouseats.com/ajiaco-colombian-chicken-and-potato-soup-recipe,"2 quarts homemade chicken stock (or low-sodium canned stock),1 whole bone-in, skin-on chicken breast, split (12 to 16 ounces total),1 large onion, split in half,2 bay leaves,2 pounds russet potatoes (about 2 medium) peeled and cut into rough 1-inch chunks,2 pounds papas Criollas (about 20 potatoes), peeled,1 pound Red Bliss potatoes (about 2 small), peeled, split into quarters lengthwise, and cut into 1/2-inch slices,1/4 cup dried guascas (see notes),2 ears corn, shucked and broken into 3 pieces each,1 small onion, finely diced (about 3/4 cup),2 tablespoons chopped cilantro,1 serrano or 1/2 jalapeño chile, seeded and finely minced,Kosher salt and freshly cracked black pepper,1/2 cup sour cream, thinned with 1 tablespoon milk,1/2 cup capers, rinsed, drained, and roughly chopped,1 ripe avocado, preferably smooth, light-green fuerte variety, sliced into wedges",0,6,75 mins,641,32,107,11
